,changed,created,dnssec,expires,isMalicious,url
276,2014-08-31 21:26:17,2004-07-09 14:11:04,False,2016-07-09 00:00:00,0,trimbleoutdoors.com
277,2014-10-30 08:52:55,2014-08-06 10:12:46,False,2015-08-06 10:12:46,0,cartin.in
278,2015-06-27 00:00:00,2014-06-29 00:00:00,False,2016-06-29 00:00:00,0,megavectorcharacters.com
279,,,,,0,oj.gob.gt
280,2013-01-24 01:42:03,,False,,0,vsenet.de
281,2014-03-29 00:00:00,2011-04-04 00:00:00,False,2017-04-04 00:00:00,0,zoemob.com
282,2014-11-02 00:00:00,2006-11-01 00:00:00,False,2015-11-01 00:00:00,0,projectmanagement-training.net
283,2015-05-30 00:00:00,2011-06-10 00:00:00,False,2016-06-10 00:00:00,0,fedorafans.com
284,,,False,,0,szsvictory.cn
285,2015-04-17 00:00:00,2015-04-17 00:00:00,False,2016-04-17 00:00:00,0,telonko.com
286,2015-01-18 00:18:43,,,,0,businessfirstmagazine.com.au
287,2015-01-28 15:41:22,1997-11-10 21:00:00,Unsigned,2020-11-10 00:00:00,0,jodipicoult.com
288,2014-07-28 07:50:54,,False,,0,versand-as.de
289,2014-08-31 09:09:04,2013-09-25 03:17:15,False,2016-09-25 03:17:15,0,cairn-int.info
290,2015-05-18 00:00:00,2010-08-16 00:00:00,False,2016-08-16 00:00:00,0,post-survey.com
291,2015-01-16 13:50:03,1998-04-15 21:00:00,False,2020-04-14 21:00:00,0,generals.org
292,2015-06-08 03:56:35,2013-06-07 12:09:53,False,2016-06-07 12:09:53,0,sokindregistry.org
293,2015-01-07 00:00:00,2015-01-07 00:00:00,False,2016-01-07 00:00:00,0,under24usd.com
294,2014-08-23 00:00:00,2011-09-21 00:00:00,False,2015-09-21 00:00:00,0,eaexoticsafaris.com
295,,,,,0,dochoiembe.com.vn
296,,,,,0,go-fit.es
